content,census_taken_date,preliminary_results_date,final_results_date,census_taken_link,preliminary_results_link,final_results_link,notes
Census 2016,"2016, 4, 24","2016, 7, 14",,http://census.ie/how-we-do-it/census-night-24th-april-2016/,http://www.cso.ie/en/releasesandpublications/ep/p-cpr/censusofpopulation2016-preliminaryresults/,,
Census 2011,"2011, 4, 10","2011, 6, 30",,,,http://www.cso.ie/en/census/census2011reports/,
Census 2006,"2006, 4, 23","2006, 7, 19","2007, 4, 26",,,http://www.cso.ie/en/census/census2006reports/,
Census 2002,"2002, 4, 28","2002, 7, 24",,,http://www.cso.ie/en/census/2002censusreports/census2002preliminaryreport/pressrelease/,,The census scheduled for 2001 was postponed until 2002 due to the outbreak of foot-and-mouth disease.
Census 1996,"1996, 4, 28",,,,,,
Census 1991,"1991, 4, 21",,,,,,
