content,start,end,first_sitting_link,disolved_link
32nd Dáil,"2016, 3, 10","2019, 8, 1",,
31st Dáil,"2011, 3, 9","2016, 2, 3",,
30th Dáil,"2007, 6, 14","2011, 2, 1",,
29th Dáil,"2002, 6, 6","2007, 4, 26",,
28th Dáil,"1997, 6, 26","2002, 4, 25",,
